R_fighter,B_fighter,TOTAL_KD,TOTAL_SIG_STR_LAND,TOTAL_SIG_STR_ATT,TOTAL_SIG_STR_ACC,TOTAL_TD_LAND,TOTAL_TD_ATT,TOTAL_TD_ACC,TOTAL_SUB_ATT,TOTAL_HEAD_STR_LAND,TOTAL_HEAD_STR_ATT,TOTAL_HEAD_STR_ACC,TOTAL_BODY_STR_LAND,TOTAL_BODY_STR_ATT,TOTAL_BODY_STR_ACC,TOTAL_LEG_STR_LAND,TOTAL_LEG_STR_ATT,TOTAL_LEG_STR_ACC,TOTAL_DISTANCE_STR_LAND,TOTAL_DISTANCE_STR_ATT,TOTAL_DISTANCE_STR_ACC,TOTAL_CLINCH_STR_LAND,TOTAL_CLINCH_STR_ATT,TOTAL_CLINCH_STR_ACC,TOTAL_GROUND_STR_LAND,TOTAL_GROUND_STR_ATT,TOTAL_GROUND_STR_ACC,Referee,year,location,Fight_type,Winner
Adrian Yanez,Gustavo Lopez,2,64,154,0.415584416,0,1,0,0,46,123,0.37398374,13,26,0.5,5,5,1,64,153,0.418300654,0,0,#DIV/0!,0,1,0,Chris Tognoni,2021,"Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez
Trevin Giles,Roman Dolidze,0,59,124,0.475806452,2,5,0.4,3,32,88,0.363636364,11,18,0.611111111,16,18,0.888888889,43,101,0.425742574,7,11,0.636363636,9,12,0.75,Herb Dean,2021,"Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles
Tai Tuivasa,Harry Hunsucker,1,16,24,0.666666667,0,0,#DIV/0!,0,11,19,0.578947368,0,0,#DIV/0!,5,5,1,11,16,0.6875,0,0,#DIV/0!,5,8,0.625,Herb Dean,2021,"Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa
Cheyanne Buys,Montserrat Conejo,0,46,106,0.433962264,4,5,0.8,2,36,95,0.378947368,5,6,0.833333333,5,5,1,41,97,0.422680412,2,2,1,3,7,0.428571429,Mark Smith,2021,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo
Marion Reneau,Macy Chiasson,0,81,201,0.402985075,3,5,0.6,0,43,150,0.286666667,22,33,0.666666667,16,18,0.888888889,61,173,0.352601156,18,24,0.75,2,4,0.5,Mark Smith,2021,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson
Leonardo Santos,Grant Dawson,0,76,151,0.503311258,2,15,0.133333333,0,30,93,0.322580645,29,37,0.783783784,17,21,0.80952381,61,133,0.458646617,11,13,0.846153846,4,5,0.8,Chris Tognoni,2021,"Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson
Song Kenan,Max Griffin,1,31,52,0.596153846,0,1,0,0,16,27,0.592592593,7,15,0.466666667,8,10,0.8,30,51,0.588235294,0,0,#DIV/0!,1,1,1,Keith Peterson,2021,"Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin
Derek Brunson,Kevin Holland,0,79,167,0.473053892,7,13,0.538461538,1,56,138,0.405797101,9,14,0.642857143,14,15,0.933333333,43,107,0.401869159,15,17,0.882352941,21,43,0.488372093,Herb Dean,2021,"Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson
Montel Jackson,Jesse Strader,2,29,51,0.568627451,0,0,#DIV/0!,0,14,29,0.482758621,5,9,0.555555556,10,13,0.769230769,17,34,0.5,3,5,0.6,9,12,0.75,Keith Peterson,2021,"Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson
Bruno Silva,JP Buys,3,54,117,0.461538462,1,3,0.333333333,1,37,93,0.397849462,8,13,0.615384615,9,11,0.818181818,41,96,0.427083333,3,5,0.6,10,16,0.625,Mark Smith,2021,"Las Vegas, Nevada, USA",Flyweight Bout,Bruno Silva
